state,cases,deaths
California,9134794,89484
Texas,6707045,87801
Florida,5867926,73583
New York,5027587,67413
Illinois,3090590,37777
Pennsylvania,2789749,44425
Ohio,2676629,38166
North Carolina,2635871,23268
Georgia,2434702,35943
Michigan,2387517,35736
New Jersey,2216804,33308
Arizona,2014020,29681
Tennessee,1974299,25757
Massachusetts,1714167,23751
Indiana,1694848,23486
